full.name,PA,run,algo,expl.var,rand,var.imp,Predictor_variable,Group
Culicoides_PA3_allRun_RF,PA3,allRun,RF,cattle production,4,0.001344,Cattle Production,Land Use
Culicoides_PA3_allRun_RF,PA3,allRun,RF,cattle production,5,0.001268,Cattle Production,Land Use
Culicoides_allData_allRun_RF,allData,allRun,RF,cattle production,1,0.001474,Cattle Production,Land Use
Culicoides_allData_allRun_RF,allData,allRun,RF,cattle production,2,0.002926,Cattle Production,Land Use
Culicoides_allData_allRun_RF,allData,allRun,RF,cattle production,3,0.002398,Cattle Production,Land Use
Culicoides_allData_allRun_RF,allData,allRun,RF,cattle production,4,0.00262,Cattle Production,Land Use
Culicoides_allData_allRun_RF,allData,allRun,RF,cattle production,5,0.002312,Cattle Production,Land Use
Culicoides_PA1_RUN1_RF,PA1,RUN1,RF,cocoa harvested area,1,5.78E-04,Cocoa Harvested Area,Land Use
Culicoides_PA1_RUN1_RF,PA1,RUN1,RF,cocoa harvested area,2,7.31E-04,Cocoa Harvested Area,Land Use
Culicoides_PA1_RUN1_RF,PA1,RUN1,RF,cocoa harvested area,3,9.85E-04,Cocoa Harvested Area,Land Use
Culicoides_PA1_RUN1_RF,PA1,RUN1,RF,cocoa harvested area,4,6.64E-04,Cocoa Harvested Area,Land Use
Culicoides_PA1_RUN1_RF,PA1,RUN1,RF,cocoa harvested area,5,8.10E-04,Cocoa Harvested Area,Land Use
Culicoides_PA1_RUN3_RF,PA1,RUN3,RF,cocoa harvested area,1,0,Cocoa Harvested Area,Land Use
Culicoides_PA1_RUN3_RF,PA1,RUN3,RF,cocoa harvested area,2,0,Cocoa Harvested Area,Land Use
Culicoides_PA1_RUN3_RF,PA1,RUN3,RF,cocoa harvested area,3,0,Cocoa Harvested Area,Land Use
Culicoides_PA1_RUN3_RF,PA1,RUN3,RF,cocoa harvested area,4,0,Cocoa Harvested Area,Land Use
Culicoides_PA1_RUN3_RF,PA1,RUN3,RF,cocoa harvested area,5,0,Cocoa Harvested Area,Land Use
Culicoides_PA1_RUN4_RF,PA1,RUN4,RF,cocoa harvested area,1,5.13E-04,Cocoa Harvested Area,Land Use
Culicoides_PA1_RUN4_RF,PA1,RUN4,RF,cocoa harvested area,2,9.26E-04,Cocoa Harvested Area,Land Use
Culicoides_PA1_RUN4_RF,PA1,RUN4,RF,cocoa harvested area,3,6.73E-04,Cocoa Harvested Area,Land Use
Culicoides_PA1_RUN4_RF,PA1,RUN4,RF,cocoa harvested area,4,7.52E-04,Cocoa Harvested Area,Land Use
Culicoides_PA1_RUN4_RF,PA1,RUN4,RF,cocoa harvested area,5,5.03E-04,Cocoa Harvested Area,Land Use
Culicoides_PA1_allRun_RF,PA1,allRun,RF,cocoa harvested area,1,7.00E-04,Cocoa Harvested Area,Land Use
Culicoides_PA1_allRun_RF,PA1,allRun,RF,cocoa harvested area,2,7.86E-04,Cocoa Harvested Area,Land Use
Culicoides_PA1_allRun_RF,PA1,allRun,RF,cocoa harvested area,3,5.81E-04,Cocoa Harvested Area,Land Use
Culicoides_PA1_allRun_RF,PA1,allRun,RF,cocoa harvested area,4,6.90E-04,Cocoa Harvested Area,Land Use
Culicoides_PA1_allRun_RF,PA1,allRun,RF,cocoa harvested area,5,4.39E-04,Cocoa Harvested Area,Land Use
Culicoides_PA2_RUN1_RF,PA2,RUN1,RF,cocoa harvested area,1,4.70E-04,Cocoa Harvested Area,Land Use
Culicoides_PA2_RUN1_RF,PA2,RUN1,RF,cocoa harvested area,2,4.65E-04,Cocoa Harvested Area,Land Use
Culicoides_PA2_RUN1_RF,PA2,RUN1,RF,cocoa harvested area,3,5.74E-04,Cocoa Harvested Area,Land Use
Culicoides_PA2_RUN1_RF,PA2,RUN1,RF,cocoa harvested area,4,5.37E-04,Cocoa Harvested Area,Land Use
Culicoides_PA2_RUN1_RF,PA2,RUN1,RF,cocoa harvested area,5,4.90E-04,Cocoa Harvested Area,Land Use
Culicoides_PA2_RUN3_RF,PA2,RUN3,RF,cocoa harvested area,1,8.51E-04,Cocoa Harvested Area,Land Use
Culicoides_PA2_RUN3_RF,PA2,RUN3,RF,cocoa harvested area,2,9.30E-04,Cocoa Harvested Area,Land Use
Culicoides_PA2_RUN3_RF,PA2,RUN3,RF,cocoa harvested area,3,9.51E-04,Cocoa Harvested Area,Land Use
Culicoides_PA2_RUN3_RF,PA2,RUN3,RF,cocoa harvested area,4,9.26E-04,Cocoa Harvested Area,Land Use
Culicoides_PA2_RUN3_RF,PA2,RUN3,RF,cocoa harvested area,5,7.75E-04,Cocoa Harvested Area,Land Use
Culicoides_PA2_RUN4_RF,PA2,RUN4,RF,cocoa harvested area,1,9.41E-04,Cocoa Harvested Area,Land Use
Culicoides_PA2_RUN4_RF,PA2,RUN4,RF,cocoa harvested area,2,9.26E-04,Cocoa Harvested Area,Land Use
Culicoides_PA2_RUN4_RF,PA2,RUN4,RF,cocoa harvested area,3,7.26E-04,Cocoa Harvested Area,Land Use
Culicoides_PA2_RUN4_RF,PA2,RUN4,RF,cocoa harvested area,4,6.85E-04,Cocoa Harvested Area,Land Use
Culicoides_PA2_RUN4_RF,PA2,RUN4,RF,cocoa harvested area,5,9.40E-04,Cocoa Harvested Area,Land Use
Culicoides_PA2_allRun_RF,PA2,allRun,RF,cocoa harvested area,1,5.80E-04,Cocoa Harvested Area,Land Use
Culicoides_PA2_allRun_RF,PA2,allRun,RF,cocoa harvested area,2,4.53E-04,Cocoa Harvested Area,Land Use
Culicoides_PA2_allRun_RF,PA2,allRun,RF,cocoa harvested area,3,4.86E-04,Cocoa Harvested Area,Land Use
Culicoides_PA2_allRun_RF,PA2,allRun,RF,cocoa harvested area,4,5.60E-04,Cocoa Harvested Area,Land Use
