PA.nb.absences,Sampling_Technique,PA_Ratio,Radii,Sigma_(KDE),Boyce_Index
Random_Sampling_2000.tif,Random Sampling,2000, - , - ,0.184802898
Random_Sampling_4000.tif,Random Sampling,4000, - , - ,0.153860497
Random_Sampling_10000.tif,Random Sampling,10000, - , - ,0.723778738
TargetBased_Sigma1_Buffer0_n400.tif,Target Group-Based Sampling,400, - ,1,0.689413723
TargetBased_Sigma1_Buffer50k_150k_n400.tif,Target Group-Based Sampling,400,50 - 150 km,1,0.729969651
TargetBased_Sigma1_Buffer50k_300k_n400.tif,Target Group-Based Sampling,400,50 - 300 km,1,0.854238379
TargetBased_Sigma1_Buffer50k_500k_n400.tif,Target Group-Based Sampling,400,50 - 500 km,1,0.848307927
TargetBased_Sigma3_Buffer0_n400.tif,Target Group-Based Sampling,400, - ,3,0.678155521
TargetBased_Sigma3_Buffer50k_150k_n400.tif,Target Group-Based Sampling,400,50 - 150 km,3,0.584161592
TargetBased_Sigma3_Buffer50k_300k_n400.tif,Target Group-Based Sampling,400,50 - 300 km,3,0.787444409
TargetBased_Sigma3_Buffer50k_500k_n400.tif,Target Group-Based Sampling,400,50 - 500 km,3,0.745473068
TargetBased_Sigma5_Buffer0_n400.tif,Target Group-Based Sampling,400, - ,5,0.636381898
TargetBased_Sigma5_Buffer50k_150k_n400.tif,Target Group-Based Sampling,400,50 - 150 km,5,0.697966806
TargetBased_Sigma5_Buffer50k_300k_n400.tif,Target Group-Based Sampling,400,50 - 300 km,5,0.717257977
TargetBased_Sigma5_Buffer50k_500k_n400.tif,Target Group-Based Sampling,400,50 - 500 km,5,0.968517945
TargetBased_Sigma1_Buffer0_n800.tif,Target Group-Based Sampling,800, - ,1,0.890745848
TargetBased_Sigma3_Buffer0_n800.tif,Target Group-Based Sampling,800, - ,3,0.475080407
TargetBased_Sigma5_Buffer0_n800.tif,Target Group-Based Sampling,800, - ,5,0.564848403
TargetBased_Sigma1_Buffer50k_150k_n800.tif,Target Group-Based Sampling,800,50 - 150 km,1,0.531929347
TargetBased_Sigma3_Buffer50k_150k_n800.tif,Target Group-Based Sampling,800,50 - 150 km,3,0.495282067
TargetBased_Sigma5_Buffer50k_150k_n800.tif,Target Group-Based Sampling,800,50 - 150 km,5,0.481671262
TargetBased_Sigma1_Buffer50k_300k_n800.tif,Target Group-Based Sampling,800,50 - 300 km,1,0.350813036
TargetBased_Sigma3_Buffer50k_300k_n800.tif,Target Group-Based Sampling,800,50 - 300 km,3,0.603023161
